Source,Target
JAD:R' U' D' R' D R U' R' D' R U2 D R,JDA:R' U2 D' R' D R U R' D' R U D R
JAD:R' U' D' R' D R U' R' D' R U2 D R,JMG:U R' D R U' R' D' R
JAD:R' U' D' R' D R U' R' D' R U2 D R,JAY:D' R' D R U' R' D' R U D
JAE:U' R2 D R' U2 R D' R' U2 R' U,JBG:R2 D R' U2 R D' R' U2 R'
JAE:U' R2 D R' U2 R D' R' U2 R' U,JEA:U' R U2 R D R' U2 R D' R2 U
JAE:U' R2 D R' U2 R D' R' U2 R' U,JFI:U R2 D R' U2 R D' R' U2 R' U'
JAF:U' R' U' R' D' R U R' D R2 U,JCG:R' U' R' D' R U R' D R2
JAF:U' R' U' R' D' R U R' D R2 U,JFA:U' R2 D' R U' R' D R U R U
JAG:R F' R' U R' D R U' R' D' R2 F R',JGA:R F' R2 D R U R' D' R U' R F R'
JAG:R F' R' U R' D R U' R' D' R2 F R',JZN:R U R' D R U' R' D'
JAG:R F' R' U R' D R U' R' D' R2 F R',JMG:U R' D R U' R' D' R
JAH:R' U' D' R' D R U R' D' R D R,JHA:R' D' R' D R U' R' D' R U D R
JAH:R' U' D' R' D R U R' D' R D R,JYA:U' D' R' D R U R' D' R D
JAI:U' R' U2 R' D' R U2 R' D R2 U,JFG:R' U2 R' D' R U2 R' D R2
JAI:U' R' U2 R' D' R U2 R' D R2 U,JIA:U' R2 D' R U2 R' D R U2 R U
JAI:U' R' U2 R' D' R U2 R' D R2 U,JXC:R U' R' U2 R' D' R U2 R' D R2 U R'
JAM:R' D R U' R' D' R U,JAY:D' R' D R U' R' D' R U D
JAM:R' D R U' R' D' R U,JMA:U' R' D R U R' D' R
JAM:R' D R U' R' D' R U,JMG:U R' D R U' R' D' R
JAM:R' D R U' R' D' R U,JNE:R U2 R' D R U' R' D' R U' R'
JAM:R' D R U' R' D' R U,JOW:R B R' U2 R' D R U' R' D' R U' R B' R'
JAM:R' D R U' R' D' R U,JZA:U' R' D' R U R' D R
JAM:R' D R U' R' D' R U,JCG:R' U' R' D' R U R' D R2
JAM:R' D R U' R' D' R U,JAR:R D' R2 D R U' R' D' R U R D R'
JAM:R' D R U' R' D' R U,JFW:U' R2 D R U' R' D' R U R U
JAM:R' D R U' R' D' R U,JMY:U D R U' R' D' R U R' U'
JAM:R' D R U' R' D' R U,JHN:R' F D R U' R' D' R U R' F' R
JAM:R' D R U' R' D' R U,JME:U R2 D R U' R' D' R U R U'
JAM:R' D R U' R' D' R U,JMT:R F R2 D R U' R' D' R U R F' R'
JAM:R' D R U' R' D' R U,JOA:R' B R U' R' D' R U R' D B' R
JAM:R' D R U' R' D' R U,JOD:R' U' D' R D R U' R' D' R U R2 U D R
JAN:D R' D' R U' R' D R U D',JAZ:R' D' R U' R' D R U
JAN:D R' D' R U' R' D R U D',JNA:U' D R' D' R U R' D R D'
JAN:D R' D' R U' R' D R U D',JNG:U D R' D' R U' R' D R D'
JAN:D R' D' R U' R' D R U D',JOM:R B R' U2 D R' D' R U' R' D R U' D' R B' R'
JAN:D R' D' R U' R' D R U D',JWE:R U2 D R' D' R U' R' D R U' D' R'
JAO:R' B D' R U' R' D R U R' B' R,JAZ:R' D' R U' R' D R U
JAO:R' B D' R U' R' D R U R' B' R,JOA:R' B R U' R' D' R U R' D B' R
JAO:R' B D' R U' R' D R U R' B' R,JMA:U' R' D R U R' D' R
JAP:U' D' R D R' U' R D' R' U2 D,JAS:U' R D R' U' R D' R' U2
JAP:U' D' R D R' U' R D' R' U2 D,JPA:U2 D' R D R' U R D' R' U D
JAP:U' D' R D R' U' R D' R' U2 D,JPE:U R' U' D' R D R' U' R D' R' U2 D R U'
JAP:U' D' R D R' U' R D' R' U2 D,JPG:D' R D R' U' R D' R' U D
JAQ:U' R D' R' U' R D R' U2,JAT:U' D R D' R' U' R D R' U2 D'
JAQ:U' R D' R' U' R D R' U2,JFP:U' R' U' R D' R' U' R D R' U2 R U
JAQ:U' R D' R' U' R D R' U2,JGS:U' R D R' U R D' R'
JAQ:U' R D' R' U' R D R' U2,JQA:U2 R D' R' U R D R' U
JAQ:U' R D' R' U' R D R' U2,JQG:R D' R' U' R D R' U
JAQ:U' R D' R' U' R D R' U2,JQY:U R U' R D' R' U' R D R' U2 R' U'
JAR:R D' R2 D R U' R' D' R U R D R',JRA:R D' R' U' R' D R U R' D' R2 D R'
JAR:R D' R2 D R U' R' D' R U R D R',JZA:U' R' D' R U R' D R
JAS:U' R D R' U' R D' R' U2,JFY:U' R' U' R D R' U' R D' R' U2 R U
JAS:U' R D R' U' R D' R' U2,JGQ:U' R D' R' U R D R'
JAS:U' R D R' U' R D' R' U2,JSA:U2 R D R' U R D' R' U
JAS:U' R D R' U' R D' R' U2,JSG:R D R' U' R D' R' U
JAT:U' D R D' R' U' R D R' U2 D',JTA:U2 D R D' R' U R D R' U D'
JAT:U' D R D' R' U' R D R' U2 D',JTG:D R D' R' U' R D R' U D'
JAW:R2 F R U R' D' R U2 R' D R U R' F' R2,JBT:R U R' D' R U2 R' D R U R'
