Source,Target
ADM:U' R' D R U' R' D' R U2,JMG:U R' D R U' R' D' R
ADM:U' R' D R U' R' D' R U2,ADY:U' D' R' D R U' R' D' R U2 D
ADM:U' R' D R U' R' D' R U2,AMD:U2 R' D R U R' D' R U
ADM:U' R' D R U' R' D' R U2,AQM:R' B' R U' R' D R U' R' D' R U2 R' B R
ADM:U' R' D R U' R' D' R U2,GCF:R2 D' R U' R' D R U' R' D' R U2 R' D R2
ADM:U' R' D R U' R' D' R U2,GMD:U2 R' D R U' R' D' R U'
ADM:U' R' D R U' R' D' R U2,JAM:R' D R U' R' D' R U
ADN:U' D R' D' R U' R' D R U2 D',ADZ:U' R' D' R U' R' D R U2
ADN:U' D R' D' R U' R' D R U2 D',AND:U2 D R' D' R U R' D R U D'
ADN:U' D R' D' R U' R' D R U2 D',GND:U2 D R' D' R U' R' D R U' D'
ADN:U' D R' D' R U' R' D R U2 D',JAN:D R' D' R U' R' D R U D'
ADN:U' D R' D' R U' R' D R U2 D',JNG:U D R' D' R U' R' D R D'
ADO:U' R' B D' R U' R' D R U R' B' R U,JAO:R' B D' R U' R' D R U R' B' R
ADO:U' R' B D' R U' R' D R U R' B' R U,AOD:U' R' B R U' R' D' R U R' D B' R U
ADP:U2 D' R D R' U' R D' R' U' D,ADS:U2 R D R' U' R D' R' U'
ADP:U2 D' R D R' U' R D' R' U' D,APD:U D' R D R' U R D' R' U2 D
ADP:U2 D' R D R' U' R D' R' U' D,GPD:U D' R D R' U' R D' R' D
ADP:U2 D' R D R' U' R D' R' U' D,JAP:U' D' R D R' U' R D' R' U2 D
ADP:U2 D' R D R' U' R D' R' U' D,JPG:D' R D R' U' R D' R' U D
ADQ:U2 R D' R' U' R D R' U',GQD:U R D' R' U' R D R'
ADQ:U2 R D' R' U' R D R' U',ADT:U2 D R D' R' U' R D R' U' D'
ADQ:U2 R D' R' U' R D R' U',AQD:U R D' R' U R D R' U2
ADQ:U2 R D' R' U' R D R' U',DQM:R F R' U2 R D' R' U' R D R' U' R F' R'
ADQ:U2 R D' R' U' R D R' U',JAQ:U' R D' R' U' R D R' U2
ADQ:U2 R D' R' U' R D R' U',JBE:R2 D R' U2 R D' R' U' R D R' U' R D' R2
ADQ:U2 R D' R' U' R D R' U',JQG:R D' R' U' R D R' U
ADR:R U' D' R' D R U' R' D' R U2 D R',ADY:U' D' R' D R U' R' D' R U2 D
ADR:R U' D' R' D R U' R' D' R U2 D R',ARD:R U2 D' R' D R U R' D' R U D R'
ADR:R U' D' R' D R U' R' D' R U2 D R',JAD:R' U' D' R' D R U' R' D' R U2 D R
ADS:U2 R D R' U' R D' R' U',GSD:U R D R' U' R D' R'
ADS:U2 R D R' U' R D' R' U',ASD:U R D R' U R D' R' U2
ADS:U2 R D R' U' R D' R' U',DWZ:R F' R' U2 R D R' U' R D' R' U' R F R'
ADS:U2 R D R' U' R D' R' U',GBE:R U2 R D R' U' R D' R' U' R'
ADS:U2 R D R' U' R D' R' U',JAS:U' R D R' U' R D' R' U2
ADS:U2 R D R' U' R D' R' U',JSG:R D R' U' R D' R' U
ADT:U2 D R D' R' U' R D R' U' D',ADX:R' U2 D R D' R' U' R D R' U' D' R
ADT:U2 D R D' R' U' R D R' U' D',ATD:U D R D' R' U R D R' U2 D'
ADT:U2 D R D' R' U' R D R' U' D',GAD:R U2 D R D' R' U' R D R' U' D' R'
ADT:U2 D R D' R' U' R D R' U' D',GTD:U D R D' R' U' R D R' D'
ADT:U2 D R D' R' U' R D R' U' D',JAT:U' D R D' R' U' R D R' U2 D'
ADT:U2 D R D' R' U' R D R' U' D',JTG:D R D' R' U' R D R' U D'
ADW:U R F' R' U R D R' U' R D' F R' U',GWD:R F' R' U R D R' U' R D' F R'
ADW:U R F' R' U R D R' U' R D' F R' U',AWD:U R F' D R' U R D' R' U' R F R' U'
ADX:R' U2 D R D' R' U' R D R' U' D' R,AXD:R' U D R D' R' U R D R' U2 D' R
ADX:R' U2 D R D' R' U' R D R' U' D' R,GAD:R U2 D R D' R' U' R D R' U' D' R'
